complexity,Kernel 0,Kernel 1,Kernel 2,Kernel 3,Kernel 4,Kernel 5,Kernel 6,Kernel 7,Kernel 8,Kernel 9,Kernel 10,Kernel 11,Kernel 12,Kernel 13,Kernel 14,Kernel 15
0,x21,-1.0780712,x0,x22,x23,0.5224898,x18,x17,x4,5.2386895e-10,x16,x11,x23,x13,x6,-1.025566
1,cube(0.104804836),square(-0.053259403),sin(0.033047825),cube(0.2541029),cube(0.27644736),cube(0.16938406),cube(0.3614596),square(-0.13835208),sin(0.014792712),cube(cube(-0.020502012)),sin(0.023625236),sin(1.4301804e-10),cube(0.28048116),square(0.11462696),cube(-0.0014867967),square(0.11054038)
2,x14 * 0.0051228236,0.022464763 * x22,x21 * x7,x0 * 0.10515967,x23 * x10,x8 * 0.04333832,x9 * x1,0.15920533 * x23,0.056504544 * x21,cube(cube(exp(cube(-2.2216055)))),0.19453181 * x0,square(cube(cube(-0.17716396))),x24 * 0.19319503,0.11911351 * x13,cube(square(0.016056664) / -0.6330138),x12 * 0.11592654
3,cube(0.21528776) * x14,cube(0.30962253 * x22),square(x21 * x7),0.12758806 * cube(x0),square(x10 * x22),cube(x8) * 0.054492794,x8 / cube(exp(x17)),square(-0.4154286 * x23),square(0.264132 * x21),,square(x0 * 0.4596355),square(square(square(-0.015797012 * x24))),cube(x24) * 0.22561754,cube(x13) * 0.14176953,square(cos(x12) / inv(cube(cube(-0.21205351)))),cube(x12) * 0.12603146
4,-0.0092602 * (x19 - x14),(0.0410704 * x22) * x8,x21 * (x7 * x17),(x0 * x5) * 0.15058824,x16 * (x10 * x23),x2 * (0.26489338 * x19),x8 / cube(cube(exp(x17))),(0.37986475 * x22) * x24,0.1288023 * (x16 * x22),,0.23001717 * (x1 * x0),square(cube(square(cube(cube(sin(0.54313624)))))),(0.25952205 * x19) * x24,(0.27925372 * x16) * x9,cube(square(square(cube(square(square(exp(-1.656586))))))) * 0.017040504,(x1 * x23) * x12
5,-0.0092602 * (square(x19) - x14),0.0410704 * (x22 * cos(x23)),(x7 * x21) * cos(x10),square(x5 * (0.6209928 - x7)),(x23 / exp(x7)) * x10,0.28693452 * (cube(x19) * x2),x8 / cube(exp(x23 + x16)),square(x23 * (x17 - x22)),cube((0.846951 - x9) * x4),,sin(x1 / exp(exp(x7))),,sin(x23 / exp(exp(x17))),square(cube(sin(x13))) * x15,,(x23 * x1) * cube(x12)
6,(-0.0092602 * 2.0958874) * (x18 - x14),0.0410704 * cube(x22 * cos(x24)),(x21 * x7) * (x16 - x5),cube(x5 * (exp(-0.4291544) - x7)),x10 * (x23 / cube(exp(x7))),cube(x3 * (cos(x4) * x19)),x8 / square(square(exp(x16 + x23))),cube(x22 * (cos(x16) - x13)),x3 * cube(cos(x1) - x8),,sin(x1 / exp(cube(exp(x12)))),,cube(x23 / exp(x8 + x21)),cube(x12 / exp(x23 + x6)),,(x23 * sin(x1)) * cube(x12)
7,cube(x14 * cos(cos(x19) + x19)),cube(square(x17 * square(sin(cos(x16))))),(x21 * x7) * (x16 - sin(x5)),cube(x5 * (sin(cos(x20)) - x7)),sin(x23 * cube(x16 / exp(x8))),square((0.74653935 - x5) * (x2 * x19)),x8 / (cube(exp(x16 + x23)) - 0.13417819),square(x22 * cube(x13 - cos(x16))),x3 * cube(cube(cos(x0) - x8)),,cube(sin(x1) / exp(x8 + x20)),,cube(sin(x19 / exp(x16 + x8))),square(x12 / square(exp(x23 + x6))),,cube(cube(x12 * (cos(x9) - x15)))
8,cube(x14 * sin(cos(cos(x19) + x19))),square(cube((cos(x16) - x24) * sin(x22))),((1.0445496 - x5) * (x21 * x7)) * x16,cube(exp(-0.24956423 - (x16 + x7)) * x5),x16 * (x23 / square(exp(x7) + x14)),cube(x19 * (cos(x4) - x5)) * x3,(1.2188491 * x8) / square(cube(exp(x23 + x16))),x22 * sin(cube(cube(cos(x16) - x13))),x3 * cube(square(square(cos(x0) - x8))),,cube(x1 / exp((x20 + x12) + x4)),,square(x23 / exp(x21 + (x4 + x12))),cube(x12 / exp(x23 + (x2 + x6))),,sin(cube(cube(x12 * (cos(x9) - x15))))
9,cube(square(cube(cos(x19 + x3)) * sin(x14))),cube(x17 * (cos(x16) - sin(x6 + x19))),((x7 * x21) * x16) * square(cube(cos(sin(x5)))),cube(sin(square(exp(x5 - exp(x16 + x7))))),cube((cos(x14) * cos(x7)) * x16) * x23,square(square(x19 * (cos(x4) - x5))) * x3,x8 / (cube(exp(x23 + (x16 + x17))) * 0.79862916),x22 * (cube(cube(cos(x15) - x13)) * x23),x4 * (square(cube(x8 - cos(x0))) * x3),,sin(cube(x1 / exp((x20 + x12) + x4))),,sin(x23 / cube(exp(x21 + (x12 + x4)))),sin(x12 / cube(exp((x6 + x2) + x23))),,x7 * (cube(cube(cos(x9) - x15)) * x17)
10,cube(square(sin(x14 * cube(cube(cos(x3 + x19)))))),square(x17 * cube(sin(x19 + x6) - cos(x16))),((x16 + x0) * (x7 * x21)) * cube(cube(cos(x5))),sin(cube(sin(square(exp(x5 - exp(x16 + x7)))))),square(x16 * square(cos(x7) * cos(x14))) * x23,(cube(x19 * (cos(x4) - x5)) * x3) * x8,(x8 / (cube(square(exp(x23) + x16)) + x18)) * 1.2401836,cube(cube(cos(x15) - sin(x9 + x12))) * x22,(x3 * (cos(x9) - x7)) * cube(cos(x0) - x8),,square(sin(x1 / square(exp((x4 + x13) + x20)))),,x19 * (x23 / square(exp((x21 + x12) + x4))),0.9562197 * (x12 / cube(exp(x2 + (x6 + x23)))),,x7 * (cube(cube(square(cos(x9)) - x15)) * x17)
