complexity,Kernel 0,Kernel 1,Kernel 2,Kernel 3,Kernel 4,Kernel 5,Kernel 6,Kernel 7,Kernel 8,Kernel 9,Kernel 10,Kernel 11,Kernel 12,Kernel 13,Kernel 14,Kernel 15
0,-0.75026596,1.051897,-0.78046286,x0,x1,-0.2573121,x1,0.7584216,square(0.117761254),x3,0.019486165,x2,cos(1.553115),x4,cube(-0.0022262826),sin(0.008011938)
1,square(-0.0374831),cos(1.568233),sin(3.1119869),square(0.108256),sin(0.017470982),square(-0.04825424),square(-0.21589585),square(-0.14742446),0.0070453533 * x0,square(0.000590408),x0 * 0.007427275,cube(-0.0003270079),x9 * 0.0062809875,square(0.11785679),cube(square(-0.0022262826)) * -0.7778142,0.0058570113 * x7
2,0.00068825914 * x2,0.0017828431 * x7,0.023064049 * x7,square(0.012222254 * x9),x4 * 0.0065888427,0.0007279081 * x9,0.03919996 * x1,0.009704115 * x4,square(-0.07461231) * x0,square(cube(0.029799858)),sin(0.0074257553 * x0),cube(cube(0.016411994)),sin(0.0062809875 * x9),0.009628713 * x2,1.6191338 / (exp(cube(1.9479613 + 2.0530648)) + 0.72766614),cube(0.036511302 * x7)
3,square(-0.027123682) * x2,square(-0.012628844 * x7),cube(x7) * 0.00020155263,square(x1 / exp(x1)),square(0.01968424 * x4),square(-0.03467745) * x8,square(x1 * 0.06521806),square(-0.02433717 * x4),square(sin(x7) * -0.24709514),cube(square(cube(0.029799858))),square(x6 / exp(x6)),cube(cube(cube(0.034999542))),(x9 - x1) * 0.0069788313,square(0.030031268 * x2),,0.0058570113 * (x7 - x5)
4,-0.0014752903 * (x6 - x2),square(sin(-0.012628844 * x7)),square((x7 * -0.0055579008) * x6),(x1 / exp(x1)) * 0.3619775,(x3 - x1) * 0.010468228,sin(cube(0.10647269) * x8),square(x1 / (x3 + 9.266585)),(x4 - x3) * 0.021610584,square((x0 - x6) * 0.03904877),,x6 / (exp(x6) + x4),,square(0.030051019 * (x1 - x9)),square(sin(0.03059222 * x2)),,square(cube(-0.2980901) * (x7 - x5))
5,-0.0014752903 * ((x3 / 1.2241117) - x2),(x7 - x5) * square(0.036182765),cube(sin((0.0076151695 * x6) * x7)),square(sin(x1) / (2.051542 + x7)),sin(0.01319999 * (x3 - x1)),square(-0.045085035) * (x8 - x6),square(x1 / (square(x3) + 8.957423)),square(-0.033468917 * (x2 - x4)),sin(x0 / cube(x1 + 2.197532)),,sin((x0 / exp(x9)) * 0.12174415),,square(x4 / exp(x6 + 2.8740616)),sin(square(sin(0.03059222 * x2))),,square(sin(x2 / exp(x5 + x9)))
6,x2 * square(inv(27.069881 + square(x3))),square(square(0.13685632) * (x7 - x5)),sin(cube(sin(x7 * (0.008031381 * x6)))),square(sin(x1) / (square(x7) + 2.051542)),sin(0.047196664 * (x7 / exp(x1))),square(-0.045085035 + -0.0019410239) * (x8 - x6),-0.016397629 + (x1 / (8.563484 + square(x3))),sin((0.042454254 * x4) / exp(x2)),sin(x0 / exp(x1 + exp(0.90991306))),,(x0 / (exp(x9) + x4)) * 0.12174415,,sin((0.113328144 / exp(x0 + x6)) * x8),square((x2 + sin(x1)) * 0.029572815),,sin(x2 / exp(x5 + (0.916761 + x9)))
7,(cube(0.017324438) / exp(x0)) * square(square(x1)),square(square(cube(-0.5216692)) * (x7 - x5)),sin(sin(sin(cube((0.0074157002 * x7) * x6)))),square(square(x1) / (cube(x7) + exp(x1))),square(-0.17454974 * (x7 / (2.526383 + x1))),(cube(sin(0.22118834)) / cube(x5 - -1.2736397)) * x2,(x1 / (square(x3) + 8.563484)) + cube(-0.23534833),sin(square(-0.04985745 * x4) / exp(x2)),square((x0 / (exp(x6) + x1)) * 0.15299323),,sin(x0 / cube(x9 + (x4 - -1.4468628))),,sin(x8 * (0.2067321 / (exp(x0) + exp(x6)))),sin(square(0.030113896 * (x2 + sin(x1)))),,sin(x2 / (square(x9) + exp(1.2063111 + x5)))
8,(square(-0.1099104) / ((x5 - -0.6081664) + x8)) * x2,sin((cube(0.18740545) / (x5 + 0.93164545)) * x7),sin(sin(sin(square(square(0.023894843 * x7) * x6)))),square(sin(square(x1) / (cube(x7) + exp(x1)))),sin(square(x7) / square(exp(x1) - -11.183491)),,square(sin(x1 / (7.849802 + square(x3)))) / 0.7019463,square((-0.04985745 * (x5 - x4)) / exp(x1)),square(sin(0.20608768 * (x0 / (x1 + exp(x6))))),,sin(sin(x0 / cube((x4 - -1.3463597) + x9))),,sin((0.113328144 / exp((x0 + x6) * 0.7194398)) * x8),square((x2 + (sin(x1) * 2.3116872)) * 0.029572815),,sin(x2 / (square(x9) + exp(square(1.2063111) + x5)))
9,sin(sin(square(0.010120501 / (exp(x7) + x0)) * exp(x2))),sin((cube(0.18740545) / (cube(x5) + 0.93164545)) * x7),sin(square((x7 * 0.00532211) * (x6 - (-0.308876 * x0)))),square(square(x1) / (exp(x1) + square(x6 - x0))),sin(0.061701752 * (square(x7) / (cube(x1) - -9.476206))),,square(sin(sin(x1 / (8.9549265 + square(x3)))) * 1.4293149),sin(square(0.061476834 * (x4 - x5)) / exp(x2)),square(sin(sin(0.20608768) * (x0 / (x1 + exp(x6))))),,sin(x0 / (cube((x4 - -1.3463597) + x9) + x8)),,sin(((square(0.113328144) / exp(x0 + x6)) * x8) * x9),square(sin(cos(-0.07429869 * x8)) * (x2 * 0.05231209)),,sin(x2 / ((square(x9) - -1.9207715) + exp(1.2063111 + x5)))
