complexity,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
0,-0.3375549,x3,cube(0.07562922),-1.5379925,-0.3051627,x3,0.00043330234,x6,-1.3095844,square(0.02080337)
1,square(0.02072126),square(0.020798588),-0.006226392 * x6,square(0.020721095),cube(0.07562925),square(0.020797746),square(-0.0207958),cube(0.075441234),square(-0.02079578),x6 * -0.0038515937
2,-0.004550438 * x6,x6 * -0.004547027,cube(x6 * -0.16360003),-0.0040210495 * x6,-0.005642699 * x6,-0.0048813904 * x6,-0.0025531077 * x6,x6 * -0.0048268316,-0.00442641 * x6,cube(-0.16368987 * x6)
3,cube(-0.1638442 * x6),cube(x6 * -0.16418087),square(cube(x6 * -0.30949742)),cube(-0.1669066 * x6),cube(-0.16200644 * x6),cube(-0.16776343 * x6),cube(-0.16357622 * x6),cube(-0.16366154 * x6),-0.00442641 * cube(x6),square(square(x6)) * 0.0028303564
4,cube(0.055056825 / exp(x6)),square(cube(x6) * 0.029685603),cube(square(sin(x6 * -0.33333182))),square(square(x6) * 0.052880954),square(0.030241314 * cube(x6)),square(square(x6) * 0.04867177),cube(0.054790165 / exp(x6)),square(square(0.23066652 * x6)),square(square(x6)) * 0.002830356,cube(square(0.23715064) / exp(x6))
5,cube(sin(0.055056825 / exp(x6))),square(cube(sin(x6 * 0.33771557))),cube(square(x6 * -0.36247858) * x3),cube(square(sin(0.33190563 * x6))),cube(square(0.22999282) / exp(x6)),-0.006913874 * cube(x8 + x6),cube(sin(0.054790165 / exp(x6))),cube(sin(square(0.31587574 * x6))),square(x3 * cube(x6 * -0.36610937)),0.00079400523 * square(cube(x6) - x3)
6,square(-0.03149318 * (cube(x6) - x3)),square(square(0.2306536 * (x6 + x8))),cube(square((0.34173313 * x6) * cos(x4))),square(-0.006339285) / (x4 + exp(x6)),square((cube(x6) * 0.067926794) * x3),cube((cube(x6) * -0.09156056) * x3),cube(0.054790165 / exp(x6)) * x3,square(cube(x6 * 0.31587574)) * x3,sin(square(square(x3 * cube(x6)) * 0.01808385)),0.00079400523 * square(exp(x3) * cube(x6))
7,square(((x3 + 0.23964065) * square(x6)) * -0.057478625),sin(square(cube(0.39053297 * x6) * x3)),cube(square((0.34173313 * x6) * square(cos(x4)))),square(cube((cube(x6) * (0.077546254 * x3)) * -1.7415837)),square(square((0.12662765 * cube(x6)) * x3)),(cube(cube(x6) * -0.09156056) * x3) * x3,cube(x3 * square(square(x6 * 0.48735064))),square(cube(x6 * 0.31587574)) * exp(x3),cube(square(-0.42238304 * (x6 * sin(x3 + 0.5975489)))),0.00079400523 * square(exp(sin(x3)) * cube(x6))
8,square(cube(square(sin(cos(x3) * (x6 * x3))))),sin(square(cube(x6 * 0.39053297) * sin(x3))),square(square(sin(x0) * (cube(sin(-0.73715466)) * x6))),square(0.03260286 * square(cube(cube(x6) * x3) * sin(0.03260286))),square(square((sin(0.12662765) * cube(x6)) * x3)),(cube((cube(x6) - x3) * -0.09156056) * sin(square(x3))) * 1.3635318,cube(x3 * square(square(x6 * exp(-0.7091706)))),cube((cube(0.25067574) * x3) * square(cube(x6))),cube(square((x6 * sin(x3 + 0.5975489)) * sin(-0.42238304))),(x5 / (0.48440385 - (x1 / -0.29043156))) * cube(-0.08131788)
9,cube(square(square(sin(cube(cos(x3) * (x3 * x6)))))),sin(square((0.36879456 + x3) * cube(0.39053297 * x6))),square(square(sin(x0) * (cube(sin(cos(cos(-0.73715466)))) * x6))),cube(sin(exp(square(x6)) * square(exp(-1.2912971 - exp(sin(cube(x3 / sin(-1.2912971)))))))),square(square((0.12662765 * cube(x6)) * (x3 + 0.10170472))),(cube((cube(x6) - x3) * -0.09156056) * sin(x3 * square(x3))) * 1.3635318,cube((x3 - -0.02918853) * square(square(x6 * 0.48735064))),cube((cube(0.25067574) * x3) * square(cube(x6) - x1)),cube(square((x6 * square(sin(x3 + 0.5975489))) * sin(-0.42238304))),square((x5 / (0.48440385 - (x1 / -0.29043156))) * cube(-0.08131788 / -0.8071865))
10,square(cube(square(sin(cube(square((x6 * x3) * cos(x3))))))),sin(square(cube(0.39053297 * x6) * (sin(0.39053297) + sin(x3)))),square(square((sin(x0) * (-1.4698529 * cube(cube(sin(cos(x4)))))) * x6)),,square(square(cube(((0.12662765 * cube(x6)) * x3) + -0.3065579))),(cube((cube(x6) - sin(x3)) * -0.09156056) * sin(x3 * square(x3))) * 1.3635318,cube((x3 + exp(x3 + 1.6559193)) * cube(x6 * -0.19327967)),square(((sin(sin(sin(x3))) - -0.49291515) * cube(-0.37239712)) * cube(x6)),cube(square(-0.42238304 * (x6 * sin(exp((cube(x3) / 0.7323405) + -0.42238304))))),
11,square(cube(square(sin(cube(cos(x3) * (x3 * x6)) - 0.020611072)))),cube(sin(square(square(cube(0.39053297 * x6) * (exp(x3) + x2))))),square(square(x6) * cube(cos(cos(0.46632832) / exp(x3)) * (exp(0.8611359) * square(0.45207426)))),,cube(square(square(cube(((0.12662765 * cube(x6)) * x3) + (-0.3065579 * 1.1084899))))),(cube((cube(x6) - x3) * -0.09156056) * sin(x3 * square(x3 + 0.40796798))) * 1.3635318,cube(((x3 + exp(x3 + 1.6559193)) + 0.10907828) * cube(x6 * -0.19327967)),,cube(square(-0.42238304 * (x6 * sin(exp((cube(x3) + -0.42238304) + exp(x6)))))),
12,cube(square(sin(exp(exp(cos(x6 * -0.11272632))) + inv(-0.11272632)) * exp(0.48773628 - exp(x5 - x3)))),square(sin(cube(sin((sin(0.28332922) + x3) * sin(cube(0.39053297 * x6) * (exp(0.39053297) * x6)))))),cube(sin(cube(square(((x5 - cos(x3)) * sin(exp(x5))) * x6) * x3) * x3)),,,((cube(cube(x6) * -0.09156056) / 1.3635318) * square((x3 * sin(x3)) + x3)) * square(-0.962136),,,cube(square(-0.42238304 * (x6 * sin(exp((cube(x3) / 0.7323405) + -0.42238304))))) / 0.5639847,
