complexity,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
0,x2,1.5090768,-1.2750548,x24,x15,0.42640647,x14,x12,square(0.03267339),x7
1,cube(0.102201656),square(-0.03267525),sin(0.0010672067),cube(0.10220667),cube(0.10231761),cube(0.10231693),square(0.032673385),cube(0.102205195),0.008473137 * x14,square(-0.032674216)
2,0.00848108 * x14,0.008105072 * x14,0.008694999 * x14,0.008615535 * x14,x14 * 0.009086485,0.007818148 * x14,0.008969082 * x14,x14 * 0.008932244,cube(0.20736258) * x14,x14 * 0.006036686
3,(x14 - x19) * 0.011500353,square(0.09443058) * x14,0.008694999 * (x9 - x4),square(0.09447236) * x14,x14 * square(0.09461422),square(0.09515777) * x14,square(sin(x14) * -0.11574829),sin(0.008932244 * x14),square(0.11752007 * sin(x14)),square(-0.09437613) * x14
4,cube(x13 / exp(exp(x17))),x14 * (0.06386019 / 7.149938),(sin(x24) - x14) * -0.011591412,(x14 - x23) * 0.010937697,(x14 - x19) * 0.009086485,square(sin(x14) * 0.11554712),(0.008969082 * x14) * exp(x10),0.00880576 * (x14 - x18),cube((0.32598445 * x14) * x10),sin(square(-0.09437613) * x14)
5,cube(sin(x9) / exp(exp(x4))),(x14 * 0.006062769) * exp(x10),((x23 * x14) - x14) * -0.011591412,cube(x14 / exp(exp(x19))),cube(x14 / exp(exp(x18))),(0.007818148 * cos(x19)) * x14,square(x14 * cos(x19)) * 0.010398756,cube(x12 / exp(exp(x17))),cube(square(x13 * (-0.6869429 + x18))),cube(x13 / exp(exp(x18)))
6,cube(x9 / exp(x4 + exp(x23))),square(square(x14 / exp(exp(x18)))),cube(exp(0.049541574 - exp(x19)) * x14),square(x14 / exp(exp(x18 + x4))),cube(x13 / exp((x18 + x3) - -0.84649307)),square(x14 / exp(1.8517306 + x24)),square(0.058373805 * (x14 * exp(cos(x19)))),square(square((cos(x19) + -0.49720258) * x14)),cube((0.35278553 * x14) * cube(cos(x19))),cos(-1.4902196) * cube(x14 / exp(x19))
7,square(x9 / exp(cube(x4 + exp(x20)))),square(square(x14 / exp(exp(square(x18))))),cube(exp(square(0.4264508) - exp(x19)) * x14),square(cube(sin(x14) / exp(x19 + x4))),square(x13 / exp(cube((x3 + x18) - -0.84649307))),sin(x14 / cube(square(1.8517306 + sin(x19)))),square(0.058373805 * (x14 * exp(cube(cos(x19))))),square(square((square(cos(x19)) + -0.49720258) * x14)),cube(((0.32598445 * x14) * 1.1262982) * cube(cos(x19))),cos(x3) * cube(x14 / exp(exp(x18)))
8,cube(x9 / cube((x17 + exp(x4)) + x1)),square(square(x14 * square(square(sin(cos(x19)))))),cube(x14 * exp(0.4264508 - exp(x3 + x19))),cube(x9 / cube(x18 + exp(x4 + x1))),square(x13 / exp(((x3 + x17) - -0.7785484) + x19)),sin(x14 / cube(exp(0.95510256 + x24) + x17)),square(0.066302426 * (x14 * exp(cos(x19) - x2))),sin(square(x14 * square(square(cos(x19 + x4)) - 0.44386032))),square(square((x13 * (-0.6869429 + x18)) / (x4 - -0.9531033))),cos(-1.4902196) * cube(x14 / (exp(x19) + x17))
9,cube(sin(x9 / cube(x17 + (x4 + exp(x1))))),square(square(x14 * (square(square(sin(cos(x19)))) * cos(x3)))),square(cube(exp(cos(x16) - exp(x3 + x19)) * x14)),cube(x9 / cube(x18 + square(exp(x4 + x1)))),square(x13 / exp(cube((x3 + x17) - -0.84649307) + x19)),square(x14 * cube(x10 * sin(sin(inv(exp(x18)))))),cube(cos(square(x9)) * square(sin(x14) * (x14 - x18))),sin(square(x14 * square(square(cos(x19 + x4)) - sin(0.44386032)))),cube(square((x13 * (-0.6869429 + x18)) / cube(x4 - -0.91587603))),square((x9 * cos(x18)) * square((x4 - 0.12247343) - 0.48573455))
10,cube(x9 / cube(x17 + (exp(x4 + x2) + x24))),square(square(x14 * (square(sin(cos(x19))) * (cos(x3) - x17)))),cube(exp((cos(x6) - exp(x4 + x19)) - x17) * x14),cube(x14 / square(exp(x19 + (x1 + (x4 + x17))))),square(x13 / exp(cube((x3 + sin(x17)) - -0.84649307) + x19)),square(x14 * cube(x10 * sin(sin(square(inv(exp(x18))))))),sin(cube(((x13 * exp(x10)) * cos(x6)) * cube(cos(x16))) * 0.014524035),sin(square(sin(square(square(cos(x19 + sin(x4)))) * sin(0.39247158)) * x14)),sin(square(x9 / cube(cube(-1.0333247 - (x18 + (x4 + x3)))))),square(x14 / exp(exp(x4))) * cos(cos(-0.5851696) + sin(x18))
11,square(x9 / square(cube(((exp(x2) + x4) + x24) + x17))),square(square(x14 * (square(sin(square(cos(x19)))) * (cos(x3) - x17)))),sin(cube(exp((cos(x7) - exp(x19 + x4)) - x17) * x14)),sin(cube(x14 / square(((x17 + exp(x4)) + x1) + x19))),square(x13 / exp(cube((x3 + (x17 + x1)) - -0.6766185) + x19)),sin(cube(sin(x14) * cube(x10 * inv(exp(x19 + x4))))),sin(cube(((x13 * exp(x10)) * cos(square(x6))) * cube(cos(x16))) * 0.014524035),sin(square(square((square(cos(x19 + sin(x4))) * cube(1.0871302)) * 0.44386032) * x14)),sin(square(x9 / cube(cube(-1.0333247 - (square(x18) + (x4 + x3)))))),square((x9 * (cos(x1) - x24)) * square((x4 - 0.12247343) - 0.48573455))
12,square(sin(x9 / cube((x17 + square(exp(x1) + x4)) + x24))),square(square(x14 * (sin(sin(cube(cos(x19)))) * (cube(cos(x3)) - x17)))),sin(cube(x14 * exp(((cos(x6) - exp(x4 + x19)) - x17) - x2))),square(square(x14 / (exp((x1 + (x4 + x17)) + x19) + x2))),square(x13 / exp((cube((x3 + (x17 + x1)) - -0.6766185) + x24) + x19)),square(square(square(sin(-0.47521973 + sin((((x14 - x18) - x4) - x3) * cube(-0.8013057)))))),sin(cube(((exp(x10) * x13) * (cos(x19) - x4)) * cube(cos(x17))) * 0.014524035),square(square(square(cube(1.0871302) * square(square(square(cos(x19 + x4))))) * 0.44386032) * x14),square(sin(x9) / cube(-1.0333247 - (x1 + (x4 + (x17 + sin(x24)))))),sin(square((x9 * (cos(x17) - x24)) * square((x4 - 0.12247343) - 0.48573455)))
13,sin(square(x9) / cube(cube(((x4 + cube(exp(x2))) + x24) + x17))),square(square(x14 * (sin(cube(square(cos(x19)))) * cube(cube(cos(x3)) - x17)))),cube(exp(cube(exp(x2)) * ((cos(cube(x6)) - exp(x4 + x19)) - x17)) * x14),cube(x14 / cube(exp(square(x19) + (x20 + (x4 + x17))) + x1)),square(x13 / exp(cube((x3 + (sin(x17) + x1)) - -0.6766185) + (x19 + x4))),sin(cube(square(square(sin((sin((x14 - x18) - x4) - x2) * cube(-0.8013057)) + -0.47521973)))),sin(cube(((exp(x10) * x13) * (cos(x19) - x4)) * square(cube(cos(x17)))) * 0.014524035),square(square(square(cube(1.0871302) * square(square(square(cos(sin(x19) + x4))))) * 0.44386032) * x14),square(sin(x9) / cube((x2 + ((x24 + x21) + x4)) - (-1.0289087 - x17))),square((x9 * (cos(x17 - x1) - x24)) * square((x4 - 0.12247343) - 0.48573455))
14,sin(square(x9) / cube(cube(x24 + (x17 + ((x4 + x3) + exp(x1)))))),square(square(x14 * square(sin(cos(x19)) * square(cube(cos(x3) - (x17 * 0.08385449)))))),cube(exp(square(cube(exp(x2))) * ((cos(cube(x6)) - exp(x4 + x19)) - x17)) * x14),square(x14 / square(exp(((x1 + (x20 + (x4 + x17))) + x3) + x19))),square(x13 / exp((cube((x3 + (x17 + x1)) - -0.6766185) + x20) + (x19 + x4))),sin(cube(square(square(sin(((sin((x14 - x18) - x4) - x3) - x20) * cube(-0.8013057)) + -0.47521973)))),,square(square(square(cube(1.0871302) * square(square(square(cos(x19 + x4))))) * (0.44386032 / 1.070857)) * x14),square(sin(x9) / cube((x2 + ((x24 + x2) + x4)) - (-1.0289087 - sin(x17)))),sin(square(sin(square((x4 - 0.4155925) - 0.4155925) * (x9 * cube(cos(x17) - x2)))))
15,sin(sin(square(x9) / cube(cube(x24 + (x17 + ((x4 + x3) + exp(x1))))))),square(square(x14 * square(sin(square(cos(x19))) * cube(cube(cos(x3)) - cube(sin(x17)))))),,sin(square(x14 / square(exp(x19 + ((x4 + (x1 + (x17 + x2))) + x20))))),,,,,square(sin(sin(square(x9) / cube(cube((cube(x24) + x1) - ((-0.9345243 - x17) - x4)))))),sin(square(sin(square((x4 - 0.4155925) - 0.4155925) * (x9 * cube(cube(cos(x17) - x2))))))
16,sin(square(x9) / cube(cube(x24 + (x17 + (((x4 + x20) + x3) + exp(x1)))))),square(square(x14 * (sin(square(cos(x19))) * square(cube((cos(x3) - (x17 * sin(0.08385449))) - x1))))),,square(square(x14) / square(exp((x3 + (x1 + (x20 + (cube(x4) + x17)))) + x19))),,,,,square(sin(x9) / cube(-1.0333247 - (x1 + (x4 + ((sin(x24) + sin(x17)) + sin(x3)))))),
17,sin(sin(square(x9) / cube(cube(x24 + (x17 + (((x4 + x20) + x3) + exp(x1))))))),,,sin(square(x14 / square(exp(((x1 + (x1 + (x20 + (x4 + x17)))) + x3) + x19)))),,,,,,
